region,sales,quantity,price
West,303.49,5,62.0
East,144.85,2,77.03
East,59.53,1,51.63
South,205.76,4,48.88
East,555.92,7,80.29
North,69.17,1,70.2
East,56.64,1,53.23
North,369.27,5,72.71
North,134.55,2,71.7
East,120.6,2,54.47
West,576.5,6,96.27
South,374.71,6,61.58
East,226.13,3,76.46
North,193.65,2,91.29
South,40.34,1,40.31
East,516.44,6,85.66
North,173.31,2,88.57
West,814.79,10,81.02
West,411.64,3,139.79
East,136.99,3,45.48
East,486.92,8,59.08
North,316.26,6,50.69
South,194.64,3,64.59
West,690.6,5,136.31
West,345.24,5,68.51
East,185.57,3,58.7
West,353.1,6,60.05
West,690.17,5,138.83
West,544.85,8,66.3
West,554.61,8,70.06
West,443.0,4,108.53
South,254.57,4,62.08
West,194.42,2,101.41
East,814.92,5,163.84
North,98.54,1,101.58
West,1027.47,10,103.14
West,185.9,2,92.56
West,111.96,1,97.36
East,353.51,6,60.13
East,197.39,3,66.81
East,700.68,8,86.16
East,85.77,1,72.61
South,161.54,4,37.48
North,56.51,1,59.88
South,210.18,4,50.48
South,236.54,4,59.78
North,974.68,6,161.68
West,1376.56,5,276.97
East,593.89,7,83.09
East,144.05,2,69.73
West,536.97,4,134.78
East,245.93,5,46.54
North,267.7,5,50.56
East,252.03,5,50.66
East,271.89,5,52.21
South,351.88,6,57.53
West,262.44,2,134.54
East,141.17,3,45.35
South,237.6,6,39.16
East,86.0,1,85.41
East,117.09,3,40.18
South,212.12,4,54.83
North,193.78,2,91.46
West,579.79,4,141.83
East,108.96,2,52.48
North,663.83,6,108.43
North,760.3,7,108.57
East,615.14,7,86.22
South,263.86,6,42.01
North,442.19,7,63.35
South,602.92,5,121.19
East,472.01,6,78.67
North,96.43,1,82.17
East,1612.53,8,200.54
East,145.03,2,70.31
East,85.6,1,75.44
South,432.97,6,72.31
East,445.84,6,73.21
East,423.15,5,85.0
South,123.41,2,54.95
South,353.3,5,70.63
South,91.84,2,43.67
South,206.46,4,50.92
South,431.26,6,73.19
West,677.64,6,110.64
East,213.24,4,55.52
North,1598.35,9,176.71
West,266.05,3,91.97
South,60.12,1,64.65
South,560.61,5,111.84
South,313.95,5,60.04
North,521.23,6,86.76
North,155.37,2,76.75
East,264.83,5,52.36
West,159.8,2,81.97
East,165.08,2,84.65
South,60.06,1,61.79
West,464.1,7,64.98
North,360.11,7,51.17
North,285.52,4,67.92
West,1090.65,9,119.8
West,1910.22,12,158.51
South,369.57,5,71.38
West,219.47,2,113.04
West,449.51,7,64.02
East,430.7,5,83.98
East,35.4,1,44.1
North,69.74,1,63.45
South,150.99,2,72.73
East,122.81,2,63.68
South,143.11,2,64.51
South,122.7,2,65.0
East,397.08,7,55.6
East,307.43,4,74.53
North,90.17,1,86.02
East,1103.59,7,156.05
South,114.97,3,34.75
South,303.86,6,49.6
West,1079.2,8,133.57
West,335.29,4,85.78
North,265.22,4,64.63
East,383.62,6,64.72
South,223.51,5,45.32
East,174.96,2,87.4
West,636.11,8,79.23
South,64.46,2,34.19
South,233.69,5,46.61
South,267.01,6,44.89
East,459.76,6,76.06
South,73.57,2,38.33
West,1200.71,10,120.82
East,161.81,3,51.37
East,49.72,1,42.28
East,657.67,8,83.42
East,374.92,6,63.94
North,1340.03,8,168.28
South,65.67,1,72.71
South,289.46,5,57.28
West,951.83,10,95.42
West,212.73,2,108.77
East,222.86,3,73.02
East,479.23,8,60.43
South,787.75,7,111.15
West,455.17,4,112.89
West,1370.66,6,227.63
South,293.02,4,71.45
South,363.04,5,72.42
West,777.55,6,131.15
East,80.52,1,73.71
East,132.32,3,42.01
North,314.81,5,60.89
North,319.55,4,78.2
North,425.3,6,69.79
West,118.7,1,120.84
East,630.19,7,88.51
East,662.45,8,83.47
West,959.25,8,120.52
West,1075.8,8,134.21
East,283.77,4,71.5
East,254.42,4,60.4
West,216.12,3,69.4
West,651.05,8,81.87
West,918.88,10,90.69
North,464.49,7,66.57
South,39.48,1,42.02
West,1120.44,8,139.91
West,792.72,9,86.6
North,213.54,2,108.85
South,204.6,6,31.96
West,408.14,3,139.07
West,215.43,2,107.21
West,296.02,3,96.55
East,324.67,5,63.47
West,1151.18,9,128.14
South,830.7,8,101.97
South,57.13,1,49.53
East,232.75,5,48.32
South,125.7,3,43.2
West,335.59,3,114.54
North,178.94,2,87.18
East,565.43,8,71.9
South,415.15,6,70.55
North,328.39,3,109.26
East,340.41,4,82.27
East,369.24,6,59.07
East,626.45,7,88.9
South,72.14,1,63.51
South,140.07,2,70.63
West,341.6,3,109.67
West,1664.75,10,167.25
East,241.77,3,77.37
North,370.51,5,71.95
East,647.22,8,81.23
North,386.52,4,98.25
North,609.6,6,101.61
South,45.43,1,55.08
West,492.46,5,96.38
North,118.49,2,56.5
North,339.98,5,69.68
South,205.68,3,70.92
East,330.75,8,41.86
West,555.12,6,91.09
North,463.04,6,75.15
South,351.39,5,67.52
East,464.14,8,58.53
West,845.27,6,138.47
West,381.13,4,91.85
South,73.19,2,34.13
East,327.03,4,79.34
East,336.29,4,81.49
East,93.32,1,78.72
North,583.4,7,82.41
East,153.35,4,40.74
East,333.02,7,46.34
West,1101.46,9,122.24
East,367.9,5,70.76
East,440.35,7,63.95
South,43.67,1,49.96
East,432.25,6,71.22
East,464.5,7,65.28
North,634.99,7,89.05
West,918.69,7,131.05
West,469.64,7,67.61
North,1178.0,5,235.44
South,98.2,2,46.77
West,184.58,2,86.37
North,1270.04,9,141.25
West,608.87,8,77.02
South,149.8,3,46.54
South,375.32,5,73.85
East,1296.16,8,160.39
West,223.55,3,74.51
East,74.92,1,71.66
West,296.91,3,96.29
South,49.43,1,55.54
South,38.79,1,32.24
West,479.61,5,95.36
East,362.03,8,45.54
East,515.55,3,168.79
South,312.19,3,106.32
West,715.85,9,78.41
East,84.58,1,83.09
East,397.29,7,55.65
West,63.51,1,69.21
North,457.86,6,77.61
South,196.72,5,40.95
North,183.7,2,94.75
West,631.49,9,69.12
West,403.64,3,136.66
East,149.56,2,70.12
West,1216.7,10,120.36
West,1122.47,10,110.82
East,493.49,8,61.99
East,86.92,2,42.81
East,177.59,2,81.58
East,491.76,7,69.7
South,285.53,4,70.31
East,212.01,3,70.25
South,412.23,6,67.68
East,608.29,8,75.38
West,932.47,7,133.43
West,1995.5,10,199.84
South,296.08,5,59.55
West,434.26,6,71.31
South,212.54,6,35.8
West,380.71,3,123.33
South,310.96,5,60.84
West,302.65,5,61.46
North,152.23,2,79.18
East,91.32,1,79.41
West,334.12,3,107.78
South,123.91,2,66.41
West,949.37,8,117.57
South,91.28,2,40.53
West,765.12,6,126.81
West,851.39,7,121.56
East,141.24,3,49.98
West,182.3,2,89.7
East,145.2,3,44.19
East,259.6,4,61.87
North,295.45,4,74.89
North,64.97,1,72.49
South,87.35,2,45.09
South,124.37,2,61.32
West,143.34,1,132.47
West,1073.02,9,118.18
East,194.21,4,46.09
West,541.37,8,68.87
West,228.12,3,79.36
West,309.09,3,105.65
North,279.96,5,54.06
West,1354.18,11,123.44
East,483.01,6,79.43
East,413.41,6,69.1
East,579.08,8,72.14
East,835.74,10,82.36
East,392.08,7,55.5
East,322.19,4,77.66
East,363.15,5,72.79
North,373.07,4,94.6
South,224.72,5,46.53
West,281.38,3,94.45
East,373.19,5,73.05
East,1805.41,11,163.64
West,1038.27,4,258.86
South,42.39,1,37.2
South,37.7,1,31.57
West,142.94,1,135.96
North,1214.25,10,121.43
West,848.58,6,139.29
East,635.3,8,78.75
South,161.2,2,74.94
West,1065.38,8,131.89
North,646.76,6,109.19
West,407.11,3,131.31
West,1126.13,9,123.5
South,633.51,7,90.26
North,586.09,5,116.59
South,64.98,1,67.05
East,390.47,6,63.29
West,333.83,3,107.02
East,132.68,3,46.21
North,328.8,5,63.53
East,356.32,5,71.75
West,305.15,3,100.21
East,431.41,6,71.22
South,40.56,1,31.28
East,344.54,7,50.54
North,498.45,6,82.73
South,189.68,3,60.82
East,491.41,8,60.78
East,448.79,6,75.92
West,622.64,6,104.93
West,70.87,1,71.27
West,252.92,3,79.86
South,79.95,2,38.54
West,84.51,1,84.68
West,783.86,10,79.26
West,1034.92,8,130.59
East,242.6,5,46.7
West,919.56,10,92.05
East,471.55,8,59.32
North,83.24,1,90.82
West,1259.33,9,138.94
East,449.5,4,109.85
West,660.56,9,71.92
East,300.93,5,59.65
West,1002.29,10,99.19
West,807.22,7,113.9
South,57.6,1,60.96
South,376.74,5,73.74
West,735.9,10,73.64
South,197.25,5,40.9
East,162.14,3,55.68
West,879.76,8,108.92
East,202.55,4,46.9
West,273.78,3,90.15
West,565.16,5,114.07
East,286.16,4,67.9
South,368.25,6,61.72
East,437.79,5,86.69
West,935.49,7,131.66
South,121.19,3,43.07
North,531.21,6,89.36
West,678.59,5,134.64
West,710.42,9,79.4
East,461.35,8,56.51
East,215.94,3,67.52
North,154.48,2,78.65
East,81.73,2,42.96
South,62.64,1,68.26
North,60.47,1,60.55
West,664.88,5,134.93
West,426.21,6,68.58
West,300.23,3,99.51
East,143.1,3,45.63
South,96.08,3,30.63
South,238.07,6,37.9
West,127.4,2,66.94
East,263.17,5,52.4
East,55.47,1,56.48
East,587.26,8,73.39
West,664.02,5,131.61
North,137.44,2,72.05
East,468.07,6,77.39
West,419.01,4,103.0
West,1114.5,9,122.99
East,80.78,1,68.21
East,203.5,3,66.83
East,404.92,8,50.27
South,256.1,5,50.4
West,569.0,5,113.82
South,785.63,6,130.35
East,1730.05,10,172.09
North,367.28,4,88.75
West,940.66,7,133.37
South,318.59,6,54.27
North,142.73,2,73.58
East,213.68,5,41.14
West,360.01,4,90.34
East,610.6,3,204.86
East,565.18,8,69.7
East,542.7,7,77.03
South,127.07,2,64.92
South,198.07,3,62.92
South,84.35,2,40.66
West,750.08,9,82.01
North,341.41,4,87.56
East,503.16,7,72.17
West,507.03,7,71.94
East,166.68,3,51.27
West,1236.49,9,137.42
East,124.2,2,56.51
East,770.44,5,151.72
East,324.06,4,78.08
East,82.6,1,87.85
South,261.83,4,63.61
South,105.09,2,47.85
West,615.13,6,102.69
North,547.46,7,77.96
South,204.56,3,71.14
North,107.85,1,94.48
West,275.98,3,93.41
West,724.06,9,79.66
East,656.96,8,81.08
West,653.72,9,71.2
West,122.32,1,111.34
East,81.21,1,80.9
South,237.93,6,40.41
West,654.88,10,64.84
East,1460.99,10,145.76
East,468.51,7,65.11
East,139.95,3,44.82
East,1748.4,11,158.57
North,373.32,6,63.55
North,88.47,1,88.99
West,56.56,1,64.49
South,188.51,3,59.02
East,78.94,1,66.41
South,544.2,6,88.62
West,895.37,8,110.82
South,52.02,1,47.92
West,1160.53,9,127.96
East,193.2,2,89.42
East,132.93,2,61.85
North,522.45,7,73.8
South,114.07,2,50.27
West,806.13,7,114.38
South,61.59,1,62.09
South,140.42,4,36.94
East,325.02,6,55.41
East,423.09,7,61.55
West,636.81,6,107.75
West,1115.42,9,122.33
West,511.71,7,73.57
East,142.43,3,47.3
West,338.77,5,66.15
West,872.26,8,109.33
North,361.2,5,69.93
West,942.52,10,94.45
North,186.11,3,62.05
East,623.47,8,76.74
East,391.44,7,54.02
East,273.33,3,89.86
North,476.14,6,77.7
South,125.92,4,33.11
East,167.62,3,52.63
East,719.68,8,89.54
North,418.49,4,102.18
West,1197.62,9,131.64
East,319.78,6,52.41
West,779.49,7,111.6
South,37.54,1,34.77
West,1063.75,10,106.44
West,1044.18,9,114.36
West,180.78,2,83.63
East,447.75,8,55.59
East,356.55,8,44.88
South,112.47,3,35.18
East,360.6,4,89.2
East,490.69,8,61.32
East,512.57,7,72.02
North,315.5,4,76.97
East,165.23,2,77.62
West,353.6,4,89.26
North,489.68,6,81.66
West,420.27,6,69.14
South,190.06,3,61.77
South,82.76,2,44.09
South,216.33,4,52.99
West,896.5,9,98.93
North,327.84,4,83.29
South,175.73,3,57.87
East,475.89,8,59.2
South,90.71,2,49.97
South,126.64,3,43.14
South,214.63,4,55.45
East,481.48,6,78.76
South,92.28,2,49.86
South,182.24,3,63.81
East,181.07,2,83.11
South,242.73,6,40.66
South,126.56,2,58.47
South,328.23,5,66.24
West,426.13,5,85.89
North,648.17,6,109.13
South,60.2,1,48.52
East,331.25,4,83.3
East,579.7,7,82.18
East,1384.09,9,153.78
South,185.98,3,61.26
West,260.48,2,129.51
South,46.06,1,46.12
North,408.67,4,99.49
East,563.55,8,68.9
South,193.91,6,32.07
East,677.84,8,82.88
West,416.53,3,139.66
North,98.86,1,102.6
West,1531.03,5,306.06
East,172.36,4,44.76
East,302.8,2,144.05
West,133.37,2,70.57
South,97.35,3,34.64
South,134.71,2,63.89
East,212.54,3,68.16
West,505.83,7,72.11
East,259.23,3,84.83
West,818.55,6,137.06
West,803.69,10,79.85
South,361.56,6,61.07
West,516.99,7,75.09
North,425.15,4,107.28
West,79.03,1,65.68
East,588.35,7,83.04
South,458.71,4,115.83
North,433.39,4,106.92
West,656.02,7,93.23
West,1555.31,7,221.7
West,222.42,2,110.74
North,129.5,2,64.32
West,550.0,5,108.71
East,115.99,3,40.63
North,566.14,7,81.38
West,592.85,5,119.98
North,272.0,4,70.1
South,58.72,1,55.95
East,245.29,3,82.97
East,140.12,2,68.7
East,978.83,6,164.06
North,373.36,7,52.12
West,598.18,7,85.74
South,68.27,1,55.72
East,71.94,1,80.22
West,416.73,5,82.58
East,246.21,5,50.03
West,554.66,4,137.75
South,419.02,5,81.05
East,367.6,5,72.87
East,58.16,1,64.6
East,171.79,4,42.2
South,272.95,6,46.76
East,153.56,2,81.0
South,105.52,3,35.88
South,370.5,6,61.53
East,266.16,3,87.18
East,378.78,8,48.22
West,969.67,8,121.63
East,246.82,5,47.88
East,498.58,6,81.8
North,70.27,1,73.77
North,211.34,4,51.86
West,128.65,2,67.58
East,336.67,4,81.52
West,217.31,2,110.42
South,37.13,1,30.98
South,115.98,3,34.14
East,603.34,7,86.21
East,235.19,3,74.16
East,724.18,5,143.6
West,2434.88,10,243.44
West,505.17,4,123.78
South,450.73,6,74.52
West,1193.85,9,133.01
East,79.32,1,69.86
East,552.47,6,89.58
North,339.4,6,56.01
South,140.91,2,63.17
West,409.27,3,134.82
South,1040.08,7,148.0
East,709.59,8,89.4
East,648.62,7,90.81
East,150.67,3,46.52
East,134.46,3,41.1
North,329.44,3,107.63
West,515.46,6,86.92
North,384.4,4,97.51
North,453.63,5,91.61
West,367.51,5,74.03
East,289.9,7,40.09
West,461.61,6,74.57
East,554.87,8,68.28
East,281.44,3,89.12
South,362.07,6,60.15
East,114.64,2,52.48
South,142.91,4,32.17
North,317.7,4,79.58
South,334.63,5,65.49
East,41.66,1,43.69
North,102.92,2,54.45
East,188.81,2,87.09
North,363.2,4,92.27
North,73.79,1,59.43
West,936.01,9,104.33
East,338.86,8,42.48
West,828.02,10,83.56
East,136.71,2,71.91
South,313.19,6,51.19
West,628.9,7,89.68
East,257.11,4,63.25
East,148.23,2,74.82
West,1368.12,10,137.66
West,929.7,9,101.81
West,1267.47,6,210.82
North,581.87,6,98.03
North,164.09,2,76.94
East,438.75,7,61.17
East,431.35,6,69.75
East,427.22,7,59.4
West,138.95,1,133.37
West,659.15,7,93.57
West,278.45,2,137.19
East,322.4,6,54.3
South,626.88,6,103.57
South,190.61,4,48.08
East,376.96,5,77.29
South,142.38,3,43.64
South,161.88,2,73.76
West,635.47,5,126.07
East,443.62,7,62.09
North,487.94,5,99.26
South,231.47,5,48.15
East,83.06,1,81.65
North,278.45,3,92.28
West,136.07,1,133.85
West,1093.46,8,136.84
East,169.1,2,84.72
East,280.62,4,68.61
South,180.06,4,42.11
