trial_id,random_state,dataset_fraction,dataset_rows,aggregate,method,exact_result,estimated_result,relative_error,time_seconds,sample_fraction,sample_size,confidence_interval_lower,confidence_interval_upper,relative_error_estimate
1,143,0.1,1000,COUNT,Exact Query,1000.0,1000.0,0.0,0.00038099999983387534,1.0,1000,1000.0,1000.0,0.0
1,143,0.1,1000,COUNT,Uniform Sampling,1000.0,1000.0,0.0,0.00031420000004800386,0.1,100,,,
1,143,0.1,1000,COUNT,Stratified Sampling,1000.0,1000.0,0.0,0.0034052999999403255,0.1,98,,,
1,143,0.1,1000,COUNT,Adaptive Sampling,1000.0,1000.0,0.0,0.0003546000002643268,0.05,50,1000.0,1000.0,0.0
1,143,0.1,1000,SUM,Exact Query,418316.18,418316.18,0.0,5.340000006981427e-05,1.0,1000,418316.18,418316.18,0.0
1,143,0.1,1000,SUM,Uniform Sampling,418316.18,461516.30000000005,0.1032714536645464,0.000283900000340509,0.1,100,,,
1,143,0.1,1000,SUM,Stratified Sampling,418316.18,416297.68235209235,0.004825291835251611,0.00233299999990777,0.1,98,,,
1,143,0.1,1000,SUM,Adaptive Sampling,418316.18,414688.22857142857,0.00867274947043986,0.0020860999998149055,0.35,350,374353.3981130306,455023.05902982655,0.09726543383531425
1,143,0.1,1000,AVG,Exact Query,418.31618,418.31618,0.0,2.6300000172341242e-05,1.0,1000,418.31618,418.31618,0.0
1,143,0.1,1000,AVG,Uniform Sampling,418.31618,461.51630000000006,0.10327145366454649,0.00021209999977145344,0.1,100,,,
1,143,0.1,1000,AVG,Stratified Sampling,418.31618,416.29768235209235,0.004825291835251562,0.0021638999996866914,0.1,98,,,
1,143,0.1,1000,AVG,Adaptive Sampling,418.31618,414.68822857142857,0.008672749470439818,0.002353800000037154,0.35,350,374.3533981130306,455.0230590298265,0.09726543383531423
2,144,0.1,1000,COUNT,Exact Query,1000.0,1000.0,0.0,3.150000020468724e-05,1.0,1000,1000.0,1000.0,0.0
2,144,0.1,1000,COUNT,Uniform Sampling,1000.0,1000.0,0.0,0.0002417000000605185,0.1,100,,,
2,144,0.1,1000,COUNT,Stratified Sampling,1000.0,1000.0,0.0,0.002188600000408769,0.1,97,,,
2,144,0.1,1000,COUNT,Adaptive Sampling,1000.0,1000.0,0.0,0.00024609999991298537,0.05,50,1000.0,1000.0,0.0
2,144,0.1,1000,SUM,Exact Query,406612.12999999995,406612.12999999995,0.0,3.319999996165279e-05,1.0,1000,406612.12999999995,406612.12999999995,0.0
2,144,0.1,1000,SUM,Uniform Sampling,406612.12999999995,394968.79999999993,0.028634979482781337,0.00021900000001551234,0.1,100,,,
2,144,0.1,1000,SUM,Stratified Sampling,406612.12999999995,396071.71518555004,0.025922529203567798,0.0024103000000650354,0.1,97,,,
2,144,0.1,1000,SUM,Adaptive Sampling,406612.12999999995,374502.9666666667,0.07896754908254526,0.001754000000346423,0.3,300,338472.23004401446,410533.7032893189,0.09620948251318398
2,144,0.1,1000,AVG,Exact Query,406.6121299999999,406.6121299999999,0.0,2.7799999770650174e-05,1.0,1000,406.6121299999999,406.6121299999999,0.0
2,144,0.1,1000,AVG,Uniform Sampling,406.6121299999999,394.9688,0.02863497948278114,0.00022330000001602457,0.1,100,,,
2,144,0.1,1000,AVG,Stratified Sampling,406.6121299999999,396.0717151855501,0.02592252920356762,0.0021706999996240484,0.1,97,,,
2,144,0.1,1000,AVG,Adaptive Sampling,406.6121299999999,374.5029666666667,0.07896754908254519,0.001661199999944074,0.3,300,338.4722300440145,410.53370328931885,0.09620948251318398
3,145,0.1,1000,COUNT,Exact Query,1000.0,1000.0,0.0,2.66000001829525e-05,1.0,1000,1000.0,1000.0,0.0
3,145,0.1,1000,COUNT,Uniform Sampling,1000.0,1000.0,0.0,0.00024069999972198275,0.1,100,,,
3,145,0.1,1000,COUNT,Stratified Sampling,1000.0,1000.0,0.0,0.002651899999818852,0.1,98,,,
3,145,0.1,1000,COUNT,Adaptive Sampling,1000.0,1000.0,0.0,0.00025009999990288634,0.05,50,1000.0,1000.0,0.0
3,145,0.1,1000,SUM,Exact Query,413637.29000000004,413637.29000000004,0.0,2.9100000119797187e-05,1.0,1000,413637.29000000004,413637.29000000004,0.0
