dataset_fraction,dataset_rows,aggregate,method,mean_estimated_result,std_estimated_result,mean_time_seconds,std_time_seconds,mean_relative_error,std_relative_error,estimate_ci_lower,estimate_ci_upper,trials
0.1,1000,AVG,Adaptive Sampling,403.4821788095238,20.162523208178218,0.001985090000016498,0.00028980150084649206,0.04535591850897153,0.021910126620478535,390.9853174536095,415.9790401654381,10
0.1,1000,AVG,Exact Query,415.8059850000001,11.011856833556218,2.6749999915409716e-05,2.1334635752624088e-06,0.0,0.0,408.9807654231015,422.63120457689865,10
0.1,1000,AVG,Stratified Sampling,413.88361387518887,20.499983389798768,0.0022460199999841278,0.00026340795897014316,0.04483417142545703,0.028855968826161912,401.1775925317417,426.58963521863603,10
0.1,1000,AVG,Uniform Sampling,411.92044999999996,37.72506323326561,0.00021456999984366122,5.780628482639381e-06,0.06000519034045476,0.05368372126049469,388.5382135605649,435.30268643943504,10
0.1,1000,COUNT,Adaptive Sampling,1000.0,0.0,0.0002451300000302581,3.9766207109100674e-05,0.0,0.0,1000.0,1000.0,10
0.1,1000,COUNT,Exact Query,1000.0,0.0,6.6350000042803e-05,0.00011061667789532599,0.0,0.0,1000.0,1000.0,10
0.1,1000,COUNT,Stratified Sampling,1000.0,0.0,0.002339919999940321,0.00041936047551168165,0.0,0.0,1000.0,1000.0,10
0.1,1000,COUNT,Uniform Sampling,1000.0,0.0,0.000244609999936074,2.4670290321772457e-05,0.0,0.0,1000.0,1000.0,10
0.1,1000,SUM,Adaptive Sampling,403482.1788095238,20162.523208178212,0.001960530000133076,0.00019056427925358862,0.04535591850897153,0.021910126620478535,390985.31745360955,415979.0401654381,10
0.1,1000,SUM,Exact Query,415805.985,11011.856833556212,3.164999993714446e-05,7.784493184130022e-06,0.0,0.0,408980.76542310143,422631.20457689854,10
0.1,1000,SUM,Stratified Sampling,413883.61387518886,20499.983389798766,0.0022072599999319207,0.00011526930018891279,0.04483417142545705,0.028855968826161885,401177.5925317417,426589.635218636,10
